Date,Open,High,Low,MA5,MA20,MA73,Close
2015/7/1,1.113499,1.116759,1.10612,1.1059926,1.0999239,1.11313774,1.113499
2015/7/2,1.103704,1.11216,1.103704,1.1034916,1.0995789,1.11345963,1.103363
2015/7/3,1.108598,1.111999,1.10827,1.1042392,1.09933105,1.113900562,1.108697
2015/7/6,1.099795,1.109141,1.099795,1.1037608,1.0985924,1.114308795,1.099505
2015/7/7,1.104802,1.105265,1.09168,1.1064406,1.09846215,1.114966973,1.104899
2015/7/8,1.100994,1.10901,1.097502,1.10527,1.0979973,1.115404192,1.100994
2015/7/9,1.107236,1.11162,1.10229,1.1052312,1.0973925,1.115885164,1.107101
2015/7/10,1.106305,1.122,1.10562,1.102682,1.09655295,1.116238589,1.106305
2015/7/13,1.112904,1.119759,1.10077,1.0991412,1.09587295,1.116637096,1.112904
2015/7/14,1.098515,1.1074,1.09685,1.0931654,1.0950529,1.116937082,1.099046
2015/7/15,1.100897,1.104,1.09361,1.0900644,1.0951855,1.117061041,1.1008
2015/7/16,1.093888,1.095,1.08594,1.0887036,1.0953557,1.117078,1.094355
2015/7/17,1.088601,1.091,1.084391,1.0883736,1.09644275,1.117245726,1.088601
2015/7/20,1.083295,1.0872,1.082157,1.0904336,1.0978175,1.117452616,1.083025
2015/7/21,1.083482,1.09407,1.08127,1.093276,1.0991312,1.117587836,1.083541
2015/7/22,1.0939,1.097,1.08814,1.0983686,1.10034415,1.117804863,1.093996
2015/7/23,1.092705,1.102,1.092395,1.1008892,1.1007985,1.117922685,1.092705
2015/7/24,1.098841,1.099602,1.09279,1.1020294,1.1017534,1.118044548,1.098901
2015/7/27,1.097406,1.112999,1.097406,1.101034,1.1029932,1.118010219,1.097237
2015/7/28,1.109102,1.1101,1.1023,1.1009666,1.1050161,1.117867288,1.109004
2015/7/29,1.10655,1.108598,1.10142,1.0982862,1.1074812,1.117585041,1.106599
2015/7/30,1.098394,1.099,1.09113,1.094746,1.109906,1.117129452,1.098406
2015/7/31,1.094176,1.11103,1.09239,1.0931268,1.11168595,1.116821849,1.093924
2015/8/3,1.0969,1.09954,1.0944,1.092883,1.11322955,1.116545575,1.0969
2015/8/4,1.095398,1.0996,1.09335,1.0928036,1.1144547,1.11626337,1.095602
2015/8/5,1.088601,1.091879,1.085031,1.0940228,1.1158039,1.116070219,1.088898
2015/8/6,1.090405,1.09346,1.08775,1.097084,1.1178262,1.115811329,1.09031
2015/8/7,1.092204,1.096861,1.08591,1.1022412,1.1193909,1.115516658,1.092705
2015/8/10,1.095902,1.1,1.09271,1.1069194,1.1203854,1.115128712,1.096503
2015/8/11,1.101795,1.10859,1.09615,1.1094786,1.12132025,1.114724521,1.101698
2015/8/12,1.104374,1.12103,1.103302,1.110699,1.1220551,1.114326137,1.104204
2015/8/13,1.115586,1.118906,1.108181,1.1104748,1.12288175,1.113776781,1.116096
2015/8/14,1.115897,1.119,1.11011,1.1096162,1.12318045,1.113065918,1.116096
2015/8/17,1.109496,1.112599,1.10625,1.1111364,1.1238301,1.112357548,1.109299
2015/8/18,1.107714,1.11,1.10219,1.1168156,1.12508535,1.111716411,1.1078
2015/8/19,1.103095,1.108,1.10204,1.1269168,1.1262334,1.111067712,1.103083
2015/8/20,1.112001,1.122,1.11084,1.1373192,1.12743825,1.110454274,1.111803
2015/8/21,1.123595,1.13691,1.123204,1.1417596,1.12830825,1.109707589,1.123697
2015/8/24,1.137799,1.1706,1.137294,1.1419794,1.12912815,1.108870452,1.137695
2015/8/25,1.158239,1.159,1.14003,1.138721,1.12870355,1.107823959,1.158306
2015/8/26,1.155482,1.155896,1.1355,1.131577,1.12674295,1.106910123,1.155095
2015/8/27,1.133954,1.13616,1.12116,1.1264268,1.12459195,1.105996493,1.134005
